year,ceremony,category,film_title,winner_raw,winner_clean,speech_clean,snippet_grading,golden_snippet,plot_hint,redacted_speech,distinctiveness
1993,66,Actor in a Leading Role,Philadelphia,Tom Hanks,Tom Hanks,"Here's what I know.  I could not be standing here without that undying love that was just sung about by, not Bruce [Springsteen], but Neil Young.  And I have that in a lover that is so close to fine, we should all be able to experience such heaven right here on earth.  I know also that, I should not be doing this, I should not be here, but I am because of the union of such filmmakers as Ed Saxon, Ron Nyswaner, Kristi Zea, Tak Fujimoto, Jonathan Demme -- who seems to have these [referring to the Oscar] attached to his limbs for every actor that works with him of late.  And a cast that includes Antonio Banderas, who, second to my lover, is the only person I would trade for.  And a cast that includes many other people, but the actor who really put his film image at risk, and shone because of his integrity, Mr. Denzel Washington, who I really must share this with.

I would not be standing here if it weren't for two very important men in my life, so... two that I haven't spoken with in awhile, but I had the pleasure of just the other evening.  Mr. Rawley Farnsworth, who was my high school drama teacher, who taught me to act well the part, there all the glory lies. And one of my classmates under Mr. Farnsworth, Mr. John Gilkerson.  I mention their names because they are two of the finest gay Americans, two wonderful men that I had the good fortune to be associated with, to fall under their inspiration at such a young age.  I wish my babies could have the same sort of teacher, the same sort of friends.

And there lies my dilemma here tonight.  I know that my work in this case is magnified by the fact that the streets of heaven are too crowded with angels. We know their names.  They number a thousand for each one of the red ribbons that we wear here tonight.  They finally rest in the warm embrace of the gracious creator of us all.  A healing embrace that cools their fevers, that clears their skin, and allows their eyes to see the simple, self-evident, common sense truth that is made manifest by the benevolent creator of us all and was written down on paper by wise men, tolerant men, in the city of Philadelphia two hundred years ago.  God bless you all.  God have mercy on us all.  And God bless America.",4,"""""""I would not be standing here if it weren't for two very important men in my life, so... two that I haven't spoken with in awhile, but I had the pleasure of just the other evening. Mr. Rawley Farnsworth, who was my high school drama teacher, who taught me to act well the part, there all the glory lies. And one of my classmates under Mr. Farnsworth, Mr. John Gilkerson. I mention their names because they are two of the finest gay Americans, two wonderful men that I had the good fortune to be associated with, to fall under their inspiration at such a young age. I wish my babies could have the same sort of teacher, the same sort of friends.""""""",A lawyer finds that his health insurance may not cover everything he thought it would.,"""""""Here's what I know. I could not be standing here without that undying love that was just sung about by, not Bruce [Springsteen], but Neil Young. And I have that in a lover that is so close to fine, we should all be able to experience such heaven right here on earth. I know also that, I should not be doing this, I should not be here, but I am because of the union of such filmmakers as Ed Saxon, Ron Nyswaner, Kristi Zea, Tak Fujimoto, [REDACT: Jonathan Demme] -- who seems to have these [referring to the Oscar] attached to his limbs for every actor that works with him of late. And a cast that includes Antonio Banderas, who, second to my lover, is the only person I would trade for. And a cast that includes many other people, but the actor who really put his film image at risk, and shone because of his integrity, Mr. Denzel Washington, who I really must share this with.

I would not be standing here if it weren't for two very important men in my life, so... two that I haven't spoken with in awhile, but I had the pleasure of just the other evening. Mr. Rawley Farnsworth, who was my high school drama teacher, who taught me to act well the part, there all the glory lies. And one of my classmates under Mr. Farnsworth, Mr. John Gilkerson. I mention their names because they are two of the finest gay Americans, two wonderful men that I had the good fortune to be associated with, to fall under their inspiration at such a young age. I wish my babies could have the same sort of teacher, the same sort of friends.

And there lies my dilemma here tonight. I know that my work in this case is magnified by the fact that the streets of heaven are too crowded with angels. We know their names. They number a thousand for each one of the red ribbons that we wear here tonight. They finally rest in the warm embrace of the gracious creator of us all. A healing embrace that cools their fevers, that clears their skin, and allows their eyes to see the simple, self-evident, common sense truth that is made manifest by the benevolent creator of us all and was written down on paper by wise men, tolerant men, in the city of [REDACT: Philadelphia] two hundred years ago. God bless you all. God have mercy on us all. And God bless America.""""""",5
1993,66,Actor in a Supporting Role,The Fugitive,Tommy Lee Jones,Tommy Lee Jones,"My thanks to the Academy for the very finest, greatest award that any actor can ever receive.  The only thing a man can say at a time like this is:  I am not really bald.  Actually, I'm lucky enough to be working and for that I have to thank the boss, Bob Daly, the other boss, Terry Semel.  Also Arnon Milchan, Steve Reuther, Arnold Kopelson, Andy Davis, Peter MacGregor-Scott, Michael Chapman.  My friends Bill Jacobson and Michael Black.  My dear, courageous family: Victoria, Kimberlea, and Austin Jones.  Above all I thank the man who needs no support at all, Harrison Ford.  For all of you, thanks for the work.",3,"""""""The only thing a man can say at a time like this is: I am not really bald.""""""",A man with a badge discovers that his paperwork has become significantly more complicated.,"""""""My thanks to the Academy for the very finest, greatest award that any actor can ever receive. The only thing a man can say at a time like this is: I am not really bald. Actually, I'm lucky enough to be working and for that I have to thank the boss, Bob Daly, the other boss, Terry Semel. Also Arnon Milchan, Steve Reuther, Arnold Kopelson, Andy Davis, Peter MacGregor-Scott, Michael Chapman. My friends Bill Jacobson and Michael Black. My dear, courageous family: Victoria, Kimberlea, and Austin Jones. Above all I thank the man who needs no support at all, [REDACT: Harrison Ford]. For all of you, thanks for the work.""""""",3
1993,66,Actress in a Leading Role,The Piano,Holly Hunter,Holly Hunter,"I'm so overwhelmed.  To be with that group of actresses just slays me.  When I was six years old I started pretending to play the piano on the window sills of my bedroom in the house where I grew up.  And then after a while my parents realized that I wasn't going to stop, so they got me a cardboard keyboard to play to see if that might, you know, if I would get tired of that.  But I wasn't.  I didn't.  And so then they got me a piano.  So for the next ten years they let me have piano lessons.  So I need to thank Eileen Parish, my first piano teacher, and I need to thank my parents for letting me have these lessons.

And Jane Campion, I love you, I love you.  Thank you so much for giving me a character and an experience that was so difficult to say good-bye to, except that I don't have to say good-bye to it because it's everybody's now.  And that is such a gift.  And Michael Nyman, who really gave me a veritable instruction manual for a way into ""Ada McGrath"" by giving the music, giving me the music that he gave me and the entire movie to experience.  And Jan Chapman, our producer, for being so luminous and for giving ""The Piano"" and all of us a place to flourish.  Harvey and Bob Weinstein, you also break my heart with your uncensored passion and support for this movie.  And just thank you all so much for letting this movie in.  And thanks.",3,"""""""When I was six years old I started pretending to play the piano on the window sills of my bedroom in the house where I grew up. And then after a while my parents realized that I wasn't going to stop, so they got me a cardboard keyboard to play to see if that might, you know, if I would get tired of that. But I wasn't. I didn't. And so then they got me a piano. So for the next ten years they let me have piano lessons. So I need to thank Eileen Parish, my first piano teacher, and I need to thank my parents for letting me have these lessons.""""""",A woman with specific communication needs expresses herself through a series of percussive performances.,"""""""I'm so overwhelmed.  To be with that group of actresses just slays me.  When I was six years old I started pretending to play the piano on the window sills of my bedroom in the house where I grew up.  And then after a while my parents realized that I wasn't going to stop, so they got me a cardboard keyboard to play to see if that might, you know, if I would get tired of that.  But I wasn't.  I didn't.  And so then they got me a piano.  So for the next ten years they let me have piano lessons.  So I need to thank Eileen Parish, my first piano teacher, and I need to thank my parents for letting me have these lessons.

And Jane Campion, I love you, I love you.  Thank you so much for giving me a character and an experience that was so difficult to say good-bye to, except that I don't have to say good-bye to it because it's everybody's now.  And that is such a gift.  And Michael Nyman, who really gave me a veritable instruction manual for a way into ""Ada McGrath"" by giving the music, giving me the music that he gave me and the entire movie to experience.  And Jan Chapman, our producer, for being so luminous and for giving [REDACT: ""The Piano""] and all of us a place to flourish.  Harvey and Bob Weinstein, you also break my heart with your uncensored passion and support for this movie.  And just thank you all so much for letting this movie in.  And thanks.""""""",4
1993,66,Actress in a Supporting Role,The Piano,Anna Paquin,Anna Paquin,"I'd like to thank the Academy for the honor of letting me be here today.  I'd like to thank Jane, Jan and Holly for making this all possible.  I'd like thank Eddie Campbell, Pat Quirke, and Beanie* for taking such good care of me during the making of the film.",1,"""""""""I'd like to thank the Academy for the honor of letting me be here today. I'd like to thank [REDACT: Jane], Jan and Holly for making this all possible.""""""",A mostly silent observer realizes that the adults in her life are making a series of questionable decisions.,"""""""I'd like to thank the Academy for the honor of letting me be here today.  I'd like to thank [REDACT: Jane], Jan and Holly for making this all possible.  I'd like thank Eddie Campbell, Pat Quirke, and Beanie* for taking such good care of me during the making of the film.""""""",2
1993,66,Directing,Schindler's List,Steven Spielberg,Steven Spielberg,"I actually, I have friends who have won this before, but -- and I swear -- I have never held one before.  This is the first time I've ever had one of these in my hand.  Oh, dear.

Let me just start by saying that this never could have happened, this never could have gotten started without a survivor named Poldek Pfefferberg who Oskar Schindler saved from Auschwitz, from Belsen.  He's the man who talked Thomas Keneally into writing the book.  I owe him such a debt.  All of us owe him such a debt.  He has carried the story of Oskar Schindler to all of us.  A man of complete obscurity who makes us wish and hope for Oskar Schindlers in all of our lives.

I have to thank, I want to thank Sid Sheinberg for giving me the book.  Thank you, Sid.  I want to thank Steve Zaillian for a screenplay of inordinate restraint.  I have great actors in this movie.  Liam, thank you.  Ralph, thank you.  Ben Kingsley, thank you.  I want to thank my wife, who's here with me tonight, for rescuing me ninety-two days in a row in Krakow, Poland, last winter when things got just too unbearable.  And my mom who's here, who is my lucky charm, whom I love very, very much.  And to the six million who can't be watching this among the one billion watching this telecast tonight.  Thank you.",3,"""""""I want to thank my wife, who's here with me tonight, for rescuing me ninety-two days in a row in Krakow, Poland, last winter when things got just too unbearable.""""""",Someone attempts to manage an increasingly chaotic situation with an unconventional approach to human resources.,"""""""I actually, I have friends who have won this before, but -- and I swear -- I have never held one before.  This is the first time I've ever had one of these in my hand.  Oh, dear.

Let me just start by saying that this never could have happened, this never could have gotten started without a survivor named Poldek Pfefferberg who [REDACT: Oskar Schindler] saved from Auschwitz, from Belsen.  He's the man who talked Thomas Keneally into writing the book.  I owe him such a debt.  All of us owe him such a debt.  He has carried the story of [REDACT: Oskar Schindler] to all of us.  A man of complete obscurity who makes us wish and hope for [REDACT: Oskar Schindlers] in all of our lives.

I have to thank, I want to thank Sid Sheinberg for giving me the book.  Thank you, Sid.  I want to thank Steve Zaillian for a screenplay of inordinate restraint.  I have great actors in this movie.  Liam, thank you.  Ralph, thank you.  Ben Kingsley, thank you.  I want to thank my wife, who's here with me tonight, for rescuing me ninety-two days in a row in Krakow, Poland, last winter when things got just too unbearable.  And my mom who's here, who is my lucky charm, whom I love very, very much.  And to the six million who can't be watching this among the one billion watching this telecast tonight.  Thank you.""""""",4
1993,66,Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers","Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers","Thank you, thank you.  Oh, wow.  This is the best drink of water after the longest drought in my life.  Let me just be brief because I would like Gerry and Branko to say something.  Let me just say there are 350,000 survivors of the Holocaust alive today.  I implore all the educators who are watching this program to please, do not allow the Holocaust to remain a footnote in history. Please teach this in your schools.  There are 350,000 experts who just want to be useful with the remainder of their lives.  Please listen to the words and the echoes and the ghosts, and please teach this in your schools.  Thank you very, very much for this.  Thank you.

GERALD R. MOLEN:
Just very quickly, thank you to the Academy, to a brilliant cast, and a marvelous international crew.  To my wife Pat for sharing the magic for the past forty years.  And to Steven Spielberg for your courage and dedication of purpose that has given each and every one of us such a special and marvelous gift.

BRANKO LUSTIG:
My number was 83317.  I am a Holocaust survivor.  It's a long way from Auschwitz to this stage.  I want to thank everyone who helped me to come so far.  People died in front of me in the camps.  Their last words were: ""Be a witness of my murder. Tell the world how I died.  Remember.""  Together with Gerry, by helping Steven to make this movie I hope I fulfill my obligation to the innocent victims of the Holocaust.  In the name of the six million Jews killed in the Shoah and other Nazi victims, I want to thank everyone for acknowledg[ing] this movie.  Thank you.",5,"""""""My number was 83317. I am a Holocaust survivor. It's a long way from Auschwitz to this stage. I want to thank everyone who helped me to come so far. People died in front of me in the camps. Their last words were: ""Be a witness of my murder. Tell the world how I died. Remember."" Together with Gerry, by helping [REDACT: Steven] to make this movie I hope I fulfill my obligation to the innocent victims of the Holocaust. In the name of the six million Jews killed in the Shoah and other Nazi victims, I want to thank everyone for acknowledg[ing] [REDACT: this movie].""""""",A businessman engages in a very elaborate barter system.,"""""""Thank you, thank you. Oh, wow. This is the best drink of water after the longest drought in my life. Let me just be brief because I would like Gerry and Branko to say something. Let me just say there are 350,000 survivors of the Holocaust alive today. I implore all the educators who are watching this program to please, do not allow the Holocaust to remain a footnote in history. Please teach this in your schools. There are 350,000 experts who just want to be useful with the remainder of their lives. Please listen to the words and the echoes and the ghosts, and please teach this in your schools. Thank you very, very much for this. Thank you.

[REDACT: GERALD R. MOLEN]:
Just very quickly, thank you to the Academy, to a brilliant cast, and a marvelous international crew. To my wife Pat for sharing the magic for the past forty years. And to [REDACT: Steven Spielberg] for your courage and dedication of purpose that has given each and every one of us such a special and marvelous gift.

[REDACT: BRANKO LUSTIG]:
My number was 83317. I am a Holocaust survivor. It's a long way from Auschwitz to this stage. I want to thank everyone who helped me to come so far. People died in front of me in the camps. Their last words were: ""Be a witness of my murder. Tell the world how I died. Remember."" Together with Gerry, by helping [REDACT: Steven] to make this movie I hope I fulfill my obligation to the innocent victims of the Holocaust. In the name of the six million Jews killed in the Shoah and other Nazi victims, I want to thank everyone for acknowledg[ing] [REDACT: this movie]. Thank you.""""""",5
1993,66,Writing (Adapted Screenplay),Schindler's List,Steven Zaillian,Steven Zaillian,"I owe this to my father who believed completely in the thing that destroyed Oskar Schindler as a businessman -- common decency.  I want to thank him, the rest of my family, Steven Spielberg.  And I'd like to accept this in honor of the twelve hundred survivors of Schindler's factory and their families, and in memory of those whose names are not on Schindler's list.  Thank you very, very much.",3,"""""""I owe this to my father who believed completely in the thing that destroyed Oskar [REDACT: Schindler] as a businessman -- common decency.""""""","A businessman discovers that paperwork can, in fact, be quite exciting.","""""""I owe this to my father who believed completely in the thing that destroyed Oskar [REDACT: Schindler] as a businessman -- common decency.  I want to thank him, the rest of my family, [REDACT: Steven Spielberg].  And I'd like to accept this in honor of the twelve hundred survivors of [REDACT: Schindler's] factory and their families, and in memory of those whose names are not on [REDACT: Schindler's] list.  Thank you very, very much.""""""",4
1993,66,Writing (Original Screenplay),The Piano,Jane Campion,Jane Campion,"Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed.  In fact I've been close to tears a few times.  And I'm just very pleased to be here and very proud to win this award.  And I'd like to say a very big thank you to my actors: Holly; Anna; Harvey and Sam who aren't here but were such gorgeous, tender, and vulnerable men in ""The Piano.""  I'd like to say, Michael Nyman, your music was just so extraordinary.  To me it was the heart of the film.  Jan, thank you for being my friend and producer.  A great big kiss to you, Colin, my husband.  And a special thank you to the Miramax brothers, Harvey and Bob, for bringing this film to America.  Thank you very much.",2,"""""""Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed. In fact I've been close to tears a few times. And I'm just very pleased to be here and very proud to win this award.""""""",A new employee finds work difficult due to communication issues.,"""""""Well, when I was a student, which doesn't feel like so very long ago, I used to feel deeply cynical about awards nights like this, but tonight I'm really overwhelmed.  In fact I've been close to tears a few times.  And I'm just very pleased to be here and very proud to win this award.  And I'd like to say a very big thank you to my actors: Holly; Anna; Harvey and Sam who aren't here but were such gorgeous, tender, and vulnerable men in [REDACT: ""The Piano""].""  I'd like to say, Michael Nyman, your music was just so extraordinary.  To me it was the heart of the film.  Jan, thank you for being my friend and producer.  A great big kiss to you, Colin, my husband.  And a special thank you to the Miramax brothers, Harvey and Bob, for bringing this film to America.  Thank you very much.""""""",3
1994,67,Actor in a Leading Role,Forrest Gump,Tom Hanks,Tom Hanks,"Thank you.  I'm standing here in lieu of my fellow nominees who are just as deserving, if not more so, of this moment.  I'm standing here because of an army of people who over the course of a back-breaking schedule that was set by Bob Zemeckis -- who worked much harder than I did and had much more at risk if our efforts were not successful.  I'm empowered to stand here thanks to the ensemble of actors, men and women who I shared the screen with, who in ways that they will never understand made me a better actor.  And I am standing here because the woman I share my life with has taught me and demonstrates for me every day just what love is.

I -- man, I feel as though I'm standing on magic legs in a special effects process shot that is too unbelievable to imagine and far too costly to make a reality.  But here is my mark, and there is where I'm supposed to look.  And believe me, the power and the pleasure and the emotion of this moment is a constant the speed of light.  It will never be diminished, nor will my appreciation and the meaning between two simple words that I can only offer you here:  Thank you.  God bless you in this room and God bless you all around the world.",4,"""""""I -- man, I feel as though I'm standing on magic legs in a special effects process shot that is too unbelievable to imagine and far too costly to make a reality. But here is my mark, and there is where I'm supposed to look. And believe me, the power and the pleasure and the emotion of this moment is a constant the speed of light.""""""",A man who accidentally accomplishes a lot while going for a jog.,"""""""Thank you. I'm standing here in lieu of my fellow nominees who are just as deserving, if not more so, of this moment. I'm standing here because of an army of people who over the course of a back-breaking schedule that was set by Bob Zemeckis -- who worked much harder than I did and had much more at risk if our efforts were not successful. I'm empowered to stand here thanks to the ensemble of actors, men and women who I shared the screen with, who in ways that they will never understand made me a better actor. And I am standing here because the woman I share my life with has taught me and demonstrates for me every day just what love is.

I -- man, I feel as though I'm standing on magic legs in a special effects process shot that is too unbelievable to imagine and far too costly to make a reality. But here is my mark, and there is where I'm supposed to look. And believe me, the power and the pleasure and the emotion of this moment is a constant the speed of light. It will never be diminished, nor will my appreciation and the meaning between two simple words that I can only offer you here: Thank you. God bless you in this room and God bless you all around the world.""""""",4
1994,67,Actor in a Supporting Role,Ed Wood,Martin Landau,Martin Landau,"My God.  What a night.  What a life.  What a moment.  What everything.  I talked to Tim Burton today in New York, and I want to finish the conversation. Thanks, Tim, for giving me the part of my life -- Gil Cates, don't put music on, because if it's a ""Mission Impossible"" theme I'll get very angry.  Larry and Scott, thanks for a great script.  The Disney people, for, well for doing it in the first place.  I think everyone who saw the movie is in this room tonight.  Thank you for their support.  Johnny Depp, thank you for your talent, your professionalism, your goodness.  A great cast down the line.  It gave me a chance to work with my daughter for the first time.  Rick, Ve and Yolanda, who have already won an award tonight, for making it all possible for me.

The members of the press, particularly Rod Lurie who is my number one fan in the press and has been an avid supporter for years.  My team of long standing: Peter Bennett*, Stan Lushell*, Mike Mamakos.  My agents who are here tonight: Fred Westheimer, Ames Cushing.  My gifted daughters, Susie and Juliet Landau. My best friend Gretchen Becker, who's here, who's talented.  My sister Connie, who's doing battle with leukemia right now and winning that battle. The Academy, the actors who I love, who nominated me, the entire membership. Let's keep the NEA funded and healthy.  Artists need encouragement.",3,"""""""Gil Cates, don't put music on, because if it's a ""Mission Impossible"" theme I'll get very angry.""""""","An aging performer desperately seeking relevance finds himself in a production that, shall we say, misses the mark.","""""""My God. What a night. What a life. What a moment. What everything. I talked to [REDACT: Tim Burton] today in New York, and I want to finish the conversation. Thanks, [REDACT: Tim], for giving me the part of my life -- Gil Cates, don't put music on, because if it's a ""Mission Impossible"" theme I'll get very angry. Larry and Scott, thanks for a great script. The Disney people, for, well for doing it in the first place. I think everyone who saw the movie is in this room tonight. Thank you for their support. [REDACT: Johnny Depp], thank you for your talent, your professionalism, your goodness. A great cast down the line. It gave me a chance to work with my daughter for the first time. Rick, Ve and Yolanda, who have already won an award tonight, for making it all possible for me.

The members of the press, particularly Rod Lurie who is my number one fan in the press and has been an avid supporter for years. My team of long standing: Peter Bennett*, Stan Lushell*, Mike Mamakos. My agents who are here tonight: Fred Westheimer, Ames Cushing. My gifted daughters, Susie and Juliet Landau. My best friend Gretchen Becker, who's here, who's talented. My sister Connie, who's doing battle with leukemia right now and winning that battle. The Academy, the actors who I love, who nominated me, the entire membership. Let's keep the NEA funded and healthy. Artists need encouragement.""""""",4
